Zong Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,aa01,aa02,aa03,aa04,aa05,aa06,aa07,aa08,aa09,aa10,aa11,aa12,aa13,aa14,aa15,aa16,aa17,aa18,aa19,aa20,fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,0.637410934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,0.091679533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,0.006018776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,0.344344091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,1,0.741571693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,0.982107226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,0.104063488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,0.037879568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0.296448791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,0.583328361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,0.015082595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,0.60114915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.001675844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,0.554743524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,0.003842855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,0.007637687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,-1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,0.473441546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0.658750522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,0.019799366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,-1,1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,0.376681614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,0.250060045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,0.663897157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,0.094804884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0.003462742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,0.005305375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,-1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,0.212777191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,1,0.392345102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,0.006071806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,-1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0.004487856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0.007637687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,0.14798019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.035134671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0.005233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0.013843308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0.003140231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.505053809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.497096093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.698257656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0.391668662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,0.516367476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.157796605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
